iteration,action_noise_std,value_function_loss,surrogate_loss,entropy_loss,mean_reward,mean_episode_length,rew_air_time,rew_base_angular_vel,rew_base_linear_vel,rew_foot_clearance,rew_gait,rew_action_smoothness,rew_air_time_variance,rew_base_motion,rew_base_orientation,rew_foot_slip,rew_joint_acc,rew_joint_pos,rew_joint_torques,rew_joint_vel,terrain_level,error_vel_xy,error_vel_yaw,term_timeout,term_body_contact,term_out_of_bounds,total_timesteps
21,0.96,1.3134,-0.0003,16.547,97.81,508.72,0.1253,1.1339,3.556,0.0677,2.1628,-1.2262,-0.0003,-0.1835,-0.0639,-0.2214,-0.0614,-0.0881,-0.0049,-0.0301,4.1455,0.5038,0.1398,0.2589,0.0124,0.0,2587200.0
22,0.96,1.2987,-0.002,16.4593,102.15,531.4,0.1222,1.1833,3.6771,0.0718,2.1731,-1.2835,-0.0003,-0.1896,-0.0634,-0.235,-0.0751,-0.1043,-0.0053,-0.0317,4.1359,0.5559,0.1494,0.2701,0.0124,0.0,2704800.0
23,0.95,1.2382,-0.0016,16.4574,107.56,556.79,0.1119,1.236,4.1092,0.0741,2.0529,-1.3405,-0.0003,-0.1978,-0.0684,-0.2409,-0.086,-0.1333,-0.0056,-0.0336,4.1248,0.5364,0.1557,0.2832,0.0124,0.0,2822400.0
24,0.95,1.2082,0.0012,16.4257,114.93,571.49,0.1295,1.2618,4.5956,0.0728,2.2019,-1.3711,-0.0003,-0.2057,-0.0713,-0.2427,-0.0631,-0.1247,-0.0054,-0.0331,4.1154,0.5063,0.1697,0.2944,0.0125,0.0,2940000.0
25,0.95,1.1805,-0.0022,16.3789,126.39,592.27,0.1302,1.3337,4.9629,0.0795,2.3671,-1.4352,-0.0003,-0.2089,-0.0709,-0.264,-0.0717,-0.1282,-0.0057,-0.0349,4.1051,0.4745,0.1643,0.3058,0.0128,0.0,3057600.0
26,0.94,1.1231,-0.0001,16.3415,128.87,625.84,0.1467,1.3875,4.7815,0.0778,2.6399,-1.5044,-0.0003,-0.2179,-0.0785,-0.2666,-0.0784,-0.1135,-0.0061,-0.0364,4.0956,0.5918,0.1816,0.3165,0.0129,0.0,3175200.0
27,0.94,1.1017,-0.0026,16.2972,135.36,652.51,0.1549,1.4462,4.9086,0.086,2.8132,-1.5578,-0.0003,-0.2249,-0.0798,-0.2795,-0.1002,-0.109,-0.0065,-0.0388,4.0851,0.5833,0.1821,0.3286,0.0129,0.0,3292800.0
28,0.94,1.0743,-0.0007,16.2719,137.77,672.76,0.1646,1.4986,4.1559,0.0892,3.113,-1.613,-0.0004,-0.228,-0.0809,-0.2947,-0.1262,-0.0909,-0.007,-0.0407,4.0755,0.7338,0.1889,0.3389,0.0129,0.0,3410400.0
29,0.94,1.0587,0.0033,16.2289,135.41,697.22,0.1651,1.5478,4.4141,0.0916,3.0465,-1.6649,-0.0004,-0.238,-0.0857,-0.297,-0.0875,-0.1125,-0.0068,-0.0398,4.0653,0.7772,0.1989,0.3502,0.013,0.0,3528000.0
30,0.93,1.0273,-0.0011,16.203,141.9,715.06,0.16,1.5618,4.9966,0.0916,2.9269,-1.6818,-0.0004,-0.2425,-0.0846,-0.3047,-0.0991,-0.1303,-0.0069,-0.0416,4.0562,0.7179,0.2077,0.3601,0.0132,0.0,3645600.0
31,0.93,0.9659,-0.0031,16.1579,160.25,750.73,0.1716,1.6558,5.7395,0.0977,3.1903,-1.767,-0.0004,-0.2491,-0.0902,-0.3147,-0.0867,-0.128,-0.0071,-0.0422,4.0448,0.6461,0.2093,0.3727,0.0133,0.0,3763200.0
32,0.93,0.9543,0.0037,16.1192,163.08,768.88,0.1732,1.7124,5.3341,0.1055,3.2004,-1.8233,-0.0004,-0.2572,-0.0897,-0.3241,-0.0857,-0.142,-0.0073,-0.0441,4.0341,0.7778,0.2117,0.3845,0.0133,0.0,3880800.0
33,0.92,0.9233,0.0012,16.083,164.81,794.06,0.1634,1.7723,6.4563,0.1088,3.048,-1.8722,-0.0004,-0.2628,-0.092,-0.3475,-0.0986,-0.1758,-0.0076,-0.0456,4.0253,0.6721,0.211,0.395,0.0133,0.0,3998400.0
34,0.92,0.8954,-0.0053,15.9815,171.95,814.26,0.191,1.7868,5.7114,0.1021,3.5155,-1.9006,-0.0004,-0.2684,-0.0981,-0.3472,-0.0909,-0.1313,-0.0076,-0.0458,4.0142,0.7977,0.2287,0.4078,0.0134,0.0,4116000.0
35,0.91,0.8783,0.0021,15.9365,172.16,845.07,0.2049,1.8773,5.7581,0.1109,3.792,-1.9824,-0.0004,-0.2812,-0.1007,-0.3608,-0.09,-0.1218,-0.0078,-0.0481,4.0027,0.8874,0.225,0.4204,0.0135,0.0,4233600.0
36,0.9,0.8408,-0.0015,15.8869,180.25,869.01,0.1947,1.926,6.4068,0.1168,3.6715,-2.0308,-0.0004,-0.284,-0.1023,-0.3795,-0.1043,-0.1537,-0.0083,-0.0496,3.9917,0.8356,0.2353,0.4323,0.0135,0.0,4351200.0
37,0.9,0.8103,-0.0041,15.7639,196.17,895.55,0.1705,1.9705,7.6669,0.1149,3.1026,-2.0832,-0.0005,-0.2957,-0.1059,-0.3794,-0.0997,-0.2316,-0.0084,-0.0501,3.9818,0.6759,0.25,0.4452,0.0135,0.0,4468800.0
38,0.9,0.8617,0.0022,15.7504,195.32,911.37,0.2045,2.009,6.6086,0.1204,3.8319,-2.1232,-0.0005,-0.2986,-0.1078,-0.3935,-0.124,-0.1597,-0.0088,-0.0518,3.9682,0.8665,0.255,0.4605,0.0135,0.0,4586400.0
39,0.89,0.7641,-0.0006,15.7094,195.37,919.79,0.1909,2.0048,6.7266,0.1213,3.6871,-2.0956,-0.0005,-0.2895,-0.1048,-0.3842,-0.1368,-0.1709,-0.0089,-0.0516,3.9582,0.8353,0.2404,0.4718,0.0139,0.0,4704000.0
40,0.89,0.7386,0.0001,15.6286,197.13,952.38,0.2064,2.1288,6.7911,0.1266,3.87,-2.2398,-0.0005,-0.3156,-0.115,-0.4242,-0.1152,-0.1929,-0.009,-0.0543,3.9496,0.9947,0.2694,0.4825,0.0139,0.0,4821600.0
41,0.89,0.684,0.0053,15.643,205.68,987.64,0.2231,2.166,7.2885,0.1257,4.3101,-2.2704,-0.0005,-0.3137,-0.1158,-0.4195,-0.1516,-0.1504,-0.0097,-0.0563,3.9391,0.8805,0.2682,0.4942,0.014,0.0,4939200.0
42,0.89,0.7464,-0.0032,15.5268,213.11,994.53,0.1983,2.1734,8.1771,0.1293,3.8093,-2.27,-0.0005,-0.314,-0.1158,-0.4086,-0.1314,-0.2126,-0.0095,-0.0553,3.927,0.7997,0.2706,0.5069,0.0141,0.0,5056800.0
43,0.88,0.6803,0.0008,15.5269,218.93,1020.44,0.2261,2.2968,7.9856,0.1405,4.2979,-2.3866,-0.0005,-0.33,-0.1189,-0.4283,-0.1373,-0.188,-0.0099,-0.0584,3.9139,0.9181,0.2789,0.5207,0.0145,0.0,5174400.0
44,0.88,0.6391,-0.0044,15.4727,221.05,1056.08,0.2457,2.358,7.3277,0.1385,4.6297,-2.4372,-0.0005,-0.3359,-0.1238,-0.4553,-0.1272,-0.1656,-0.0099,-0.0592,3.9034,1.1113,0.2761,0.5336,0.0145,0.0,5292000.0
45,0.88,0.6173,0.0002,15.4485,222.5,1086.01,0.2309,2.3982,7.7531,0.1404,4.4346,-2.4947,-0.0005,-0.3466,-0.1258,-0.4673,-0.1618,-0.2042,-0.0105,-0.0616,3.8935,1.0816,0.2954,0.545,0.0145,0.0,5409600.0
46,0.87,0.6103,-0.0033,15.4039,228.98,1106.5,0.2345,2.4559,7.8805,0.1388,4.4727,-2.5484,-0.0005,-0.3489,-0.1322,-0.4757,-0.1544,-0.2185,-0.0107,-0.0618,3.8827,1.1438,0.2969,0.5578,0.0145,0.0,5527200.0
47,0.87,0.5898,-0.0017,15.3544,233.16,1128.0,0.2313,2.5115,8.4277,0.1493,4.3327,-2.5941,-0.0006,-0.3504,-0.1298,-0.4739,-0.1414,-0.2442,-0.0107,-0.0625,3.8738,1.0503,0.3003,0.5679,0.0145,0.0,5644800.0
48,0.87,0.5801,0.002,15.3223,233.92,1152.94,0.2542,2.5624,8.4038,0.1515,4.9455,-2.6391,-0.0006,-0.3608,-0.1345,-0.4979,-0.1925,-0.193,-0.0114,-0.0659,3.8648,1.0898,0.3089,0.5783,0.0145,0.0,5762400.0
49,0.86,0.5863,0.0002,15.2648,244.17,1178.41,0.2494,2.6228,9.2945,0.1606,4.7392,-2.695,-0.0006,-0.3712,-0.137,-0.4897,-0.1179,-0.235,-0.0107,-0.0645,3.8548,1.0533,0.3075,0.5894,0.0145,0.0,5880000.0
50,0.86,0.5771,0.0009,15.2339,248.81,1193.03,0.2692,2.6594,7.941,0.1568,5.1928,-2.7221,-0.0006,-0.3735,-0.1354,-0.506,-0.1481,-0.1897,-0.0111,-0.0669,3.8451,1.3167,0.3099,0.6001,0.0145,0.0,5997600.0
51,0.86,0.5492,-0.0023,15.1381,263.15,1218.51,0.276,2.7197,9.2468,0.1578,5.3315,-2.7931,-0.0006,-0.3786,-0.142,-0.5144,-0.1612,-0.1958,-0.0115,-0.0684,3.8324,1.1289,0.3292,0.6141,0.0147,0.0,6115200.0
52,0.85,0.655,-0.0014,15.1273,272.16,1241.15,0.2501,2.7652,10.0172,0.1668,4.9036,-2.8183,-0.0006,-0.3809,-0.1399,-0.5318,-0.1734,-0.2525,-0.0119,-0.068,3.8213,0.995,0.3222,0.627,0.0147,0.0,6232800.0
53,0.85,0.5946,-0.004,15.0819,267.15,1262.63,0.2869,2.8301,9.0159,0.1668,5.4696,-2.8822,-0.0006,-0.396,-0.1473,-0.5287,-0.1408,-0.208,-0.0117,-0.0683,3.8092,1.2262,0.3371,0.6393,0.0149,0.0,6350400.0
54,0.85,0.5214,-0.0042,14.987,270.84,1295.89,0.2807,2.8929,9.6906,0.1712,5.4819,-2.9294,-0.0006,-0.3893,-0.148,-0.5312,-0.1571,-0.2222,-0.0121,-0.0701,3.7997,1.1732,0.3338,0.6494,0.0149,0.0,6468000.0
55,0.84,0.4979,-0.0032,14.9729,276.14,1320.27,0.2925,2.9466,9.632,0.1773,5.7017,-2.9837,-0.0006,-0.4052,-0.151,-0.5758,-0.1801,-0.2195,-0.0126,-0.073,3.7903,1.2368,0.3388,0.6598,0.0149,0.0,6585600.0
56,0.84,0.5408,-0.0005,14.9313,291.76,1350.35,0.3017,2.9897,10.3604,0.1796,5.7884,-3.0271,-0.0007,-0.4104,-0.1537,-0.5697,-0.1561,-0.2206,-0.0124,-0.0735,3.7805,1.108,0.3555,0.6707,0.0149,0.0,6703200.0
57,0.84,0.5097,-0.0016,14.8614,288.9,1371.58,0.297,3.0464,9.8398,0.176,5.6953,-3.0814,-0.0007,-0.4076,-0.1593,-0.5572,-0.1766,-0.2455,-0.0129,-0.0728,3.7693,1.3563,0.3575,0.6839,0.0149,0.0,6820800.0
58,0.83,0.5052,-0.0026,14.8362,288.1,1397.72,0.2967,3.1075,10.5235,0.1824,5.8886,-3.1262,-0.0007,-0.4172,-0.1561,-0.5833,-0.1889,-0.2394,-0.0132,-0.0754,3.7573,1.2955,0.356,0.6977,0.0149,0.0,6938400.0
59,0.83,0.4586,-0.0012,14.8119,309.46,1420.42,0.3157,3.1601,9.9129,0.1792,6.2451,-3.171,-0.0007,-0.4214,-0.1622,-0.5925,-0.1855,-0.2164,-0.0134,-0.0758,3.746,1.4294,0.3625,0.7103,0.0149,0.0,7056000.0
60,0.83,0.4271,-0.001,14.7469,304.83,1442.23,0.3216,3.2042,10.2322,0.1932,6.0888,-3.221,-0.0007,-0.4414,-0.1614,-0.5964,-0.128,-0.2484,-0.0127,-0.0773,3.7365,1.4185,0.3772,0.7222,0.0149,0.0,7173600.0
61,0.82,0.4383,-0.0055,14.6724,305.09,1467.38,0.3163,3.2614,10.4331,0.1959,6.2253,-3.2709,-0.0007,-0.438,-0.1655,-0.6151,-0.1731,-0.2494,-0.0135,-0.0777,3.7266,1.484,0.3793,0.7339,0.0149,0.0,7291200.0
62,0.82,0.4562,-0.006,14.6449,316.85,1494.54,0.3322,3.313,10.7318,0.1924,6.4577,-3.3147,-0.0007,-0.4484,-0.1678,-0.6065,-0.1661,-0.2372,-0.0135,-0.0793,3.7153,1.426,0.3874,0.7467,0.0149,0.0,7408800.0
63,0.82,0.4117,-0.0057,14.6089,324.95,1518.48,0.3281,3.3718,10.5069,0.192,6.4722,-3.367,-0.0007,-0.4481,-0.1754,-0.6274,-0.2064,-0.2529,-0.0143,-0.081,3.7036,1.5803,0.3878,0.7602,0.0149,0.0,7526400.0
64,0.82,0.4058,-0.0032,14.5672,329.01,1544.64,0.3312,3.419,11.1538,0.2048,6.4109,-3.4098,-0.0007,-0.4623,-0.1711,-0.6333,-0.1657,-0.2716,-0.0138,-0.0819,3.6908,1.4749,0.3995,0.775,0.0149,0.0,7644000.0
65,0.81,0.3942,-0.005,14.5405,329.78,1560.03,0.3353,3.4805,10.9373,0.2107,6.7274,-3.4594,-0.0007,-0.4604,-0.1733,-0.6611,-0.2594,-0.2591,-0.0153,-0.086,3.6794,1.5282,0.3969,0.7878,0.0149,0.0,7761600.0
