iteration,action_noise_std,value_function_loss,surrogate_loss,entropy_loss,mean_reward,mean_episode_length,rew_air_time,rew_base_angular_vel,rew_base_linear_vel,rew_foot_clearance,rew_gait,rew_action_smoothness,rew_air_time_variance,rew_base_motion,rew_base_orientation,rew_foot_slip,rew_joint_acc,rew_joint_pos,rew_joint_torques,rew_joint_vel,terrain_level,error_vel_xy,error_vel_yaw,term_timeout,term_body_contact,term_out_of_bounds,total_timesteps
92,0.74,0.3544,-0.0112,13.3502,438.09,2000.0,0.4186,4.4812,15.1217,0.268,7.8471,-4.1093,-0.001,-0.5463,-0.209,-0.7897,-0.2071,-0.4002,-0.0173,-0.0984,3.4305,1.8585,0.4536,0.9937,0.0063,0.0,10936800.0
93,0.74,0.3597,-0.0106,13.3237,452.15,2000.0,0.4342,4.4491,15.3785,0.2538,8.23,-4.0953,-0.001,-0.5416,-0.2217,-0.8128,-0.2704,-0.3575,-0.0182,-0.0991,3.4228,1.7349,0.4848,0.9938,0.0062,0.0,11054400.0
94,0.73,0.3628,-0.011,13.29,456.81,2000.0,0.4461,4.4719,15.3698,0.2576,8.0708,-4.0904,-0.001,-0.5439,-0.2139,-0.7857,-0.2078,-0.3801,-0.0173,-0.0967,3.4141,1.7746,0.4623,0.9943,0.0057,0.0,11172000.0
95,0.73,0.3631,-0.0126,13.2718,445.12,2000.0,0.4372,4.4662,15.1713,0.2507,8.0749,-4.064,-0.001,-0.5408,-0.2164,-0.8041,-0.255,-0.3819,-0.0177,-0.0996,3.4048,1.8516,0.468,0.9947,0.0053,0.0,11289600.0
96,0.73,0.3658,-0.0113,13.2508,436.08,2000.0,0.4377,4.4582,15.0456,0.2592,8.2602,-4.0462,-0.001,-0.5349,-0.2125,-0.7819,-0.2274,-0.3543,-0.0175,-0.0973,3.3951,1.7285,0.4749,0.9951,0.0049,0.0,11407200.0
97,0.73,0.3629,-0.0108,13.2362,437.08,2000.0,0.4393,4.4654,14.2373,0.2535,8.1299,-4.0289,-0.001,-0.5335,-0.2161,-0.7856,-0.2127,-0.3714,-0.0172,-0.095,3.3859,1.9372,0.4683,0.9953,0.0047,0.0,11524800.0
98,0.73,0.3618,-0.0117,13.2135,434.19,2000.0,0.4456,4.4719,14.7923,0.2634,8.4094,-4.0221,-0.001,-0.5341,-0.2129,-0.7904,-0.24,-0.343,-0.0175,-0.0972,3.377,1.8574,0.4623,0.9957,0.0043,0.0,11642400.0
99,0.73,0.3638,-0.0125,13.187,455.57,2000.0,0.4179,4.4826,15.5465,0.2662,7.9322,-4.0088,-0.001,-0.5337,-0.2062,-0.8092,-0.2444,-0.3965,-0.0175,-0.0968,3.3665,1.722,0.452,0.996,0.004,0.0,11760000.0
100,0.73,0.3626,-0.0134,13.1524,458.14,2000.0,0.4713,4.4777,14.5194,0.2552,8.9475,-3.9923,-0.001,-0.5334,-0.2081,-0.8004,-0.2431,-0.2764,-0.0175,-0.0965,3.3568,1.8825,0.4569,0.9963,0.0037,0.0,11877600.0
101,0.73,0.368,-0.0117,13.131,447.93,2000.0,0.4585,4.4823,16.0442,0.2531,8.0595,-3.974,-0.0011,-0.5304,-0.2155,-0.7795,-0.2037,-0.3748,-0.017,-0.095,3.3481,1.6249,0.4525,0.997,0.003,0.0,11995200.0
102,0.72,0.3785,-0.0115,13.102,446.43,2000.0,0.4436,4.4904,15.0111,0.2595,8.2963,-3.9624,-0.001,-0.5277,-0.2131,-0.7837,-0.2461,-0.3539,-0.0174,-0.0966,3.3383,1.793,0.4446,0.9971,0.0029,0.0,12112800.0
103,0.72,0.3854,-0.0125,13.0797,440.08,2000.0,0.457,4.4871,14.1728,0.2554,8.4602,-3.9479,-0.001,-0.5263,-0.2093,-0.7758,-0.1919,-0.336,-0.0168,-0.094,3.3281,1.9485,0.4474,0.9973,0.0027,0.0,12230400.0
104,0.72,0.3782,-0.0132,13.0607,448.05,2000.0,0.475,4.4798,15.4771,0.244,8.4688,-3.9385,-0.0011,-0.5254,-0.2158,-0.7632,-0.2061,-0.3284,-0.0169,-0.0932,3.3193,1.7307,0.4547,0.9973,0.0027,0.0,12348000.0
105,0.72,0.3771,-0.0132,13.0355,458.25,2000.0,0.4265,4.4848,16.4096,0.2499,7.3732,-3.916,-0.0012,-0.5191,-0.2182,-0.8048,-0.2798,-0.4587,-0.0178,-0.0965,3.3096,1.6119,0.4501,0.9973,0.0027,0.0,12465600.0
106,0.72,0.3768,-0.0142,13.0254,448.47,2000.0,0.4562,4.4862,15.0048,0.2524,8.0428,-3.9057,-0.0011,-0.5216,-0.2123,-0.809,-0.2189,-0.3806,-0.017,-0.0945,3.3005,1.8304,0.4486,0.9973,0.0027,0.0,12583200.0
107,0.72,0.3796,-0.0137,12.9966,442.67,2000.0,0.4212,4.4922,15.6191,0.2626,7.7838,-3.8996,-0.001,-0.5194,-0.2067,-0.7719,-0.2278,-0.4191,-0.0171,-0.0941,3.2921,1.7439,0.4431,0.9973,0.0027,0.0,12700800.0
108,0.72,0.3808,-0.0132,12.9738,461.87,2000.0,0.4601,4.4952,16.1778,0.2592,8.4672,-3.8821,-0.0011,-0.5213,-0.2052,-0.7507,-0.2033,-0.3295,-0.0167,-0.094,3.2836,1.5906,0.4396,0.9976,0.0024,0.0,12818400.0
109,0.72,0.3874,-0.0148,12.9495,471.8,2000.0,0.4544,4.5017,16.4435,0.2545,8.3911,-3.8712,-0.0011,-0.5072,-0.2125,-0.7995,-0.237,-0.3461,-0.0173,-0.093,3.2757,1.5812,0.4338,0.9978,0.0022,0.0,12936000.0
110,0.71,0.3824,-0.0155,12.9354,473.43,2000.0,0.4702,4.4956,16.0474,0.2563,8.3402,-3.8532,-0.0011,-0.5251,-0.21,-0.7356,-0.168,-0.3379,-0.0163,-0.092,3.2684,1.6304,0.4394,0.9978,0.0022,0.0,13053600.0
111,0.71,0.3828,-0.0161,12.909,463.24,2000.0,0.4463,4.4944,16.0793,0.2597,8.1177,-3.8524,-0.0011,-0.5082,-0.2005,-0.7361,-0.1779,-0.3692,-0.0164,-0.0907,3.2602,1.6319,0.4406,0.9978,0.0022,0.0,13171200.0
112,0.71,0.3877,-0.0159,12.8779,456.68,2000.0,0.4592,4.492,16.0659,0.2421,7.8813,-3.8242,-0.0011,-0.5083,-0.2153,-0.7529,-0.1867,-0.4005,-0.0165,-0.0913,3.2537,1.5847,0.443,0.9978,0.0022,0.0,13288800.0
113,0.71,0.3815,-0.0149,12.855,458.04,2000.0,0.4866,4.4992,14.7466,0.2459,8.5861,-3.8245,-0.0013,-0.5065,-0.2098,-0.7404,-0.1837,-0.3094,-0.0164,-0.0902,3.2464,1.8397,0.4363,0.998,0.002,0.0,13406400.0
114,0.71,0.3857,-0.0143,12.8451,458.51,2000.0,0.4528,4.5017,15.8918,0.2614,8.1237,-3.8015,-0.0011,-0.5129,-0.2015,-0.7515,-0.2013,-0.3761,-0.0166,-0.0916,3.2391,1.6501,0.4334,0.9982,0.0018,0.0,13524000.0
115,0.71,0.3932,-0.0153,12.8266,463.81,2000.0,0.4738,4.5023,15.7245,0.2485,8.3483,-3.7971,-0.0011,-0.5112,-0.2142,-0.7679,-0.2014,-0.3521,-0.0167,-0.0912,3.2302,1.6624,0.4332,0.9982,0.0018,0.0,13641600.0
116,0.71,0.3926,-0.0154,12.7989,455.57,2000.0,0.4678,4.5118,14.4292,0.2425,8.2653,-3.7834,-0.0012,-0.4975,-0.212,-0.7942,-0.2499,-0.3543,-0.0173,-0.0917,3.2243,1.9323,0.4243,0.9982,0.0018,0.0,13759200.0
117,0.71,0.3944,-0.0144,12.7871,454.86,2000.0,0.4633,4.5125,15.3123,0.2607,8.1399,-3.7758,-0.0012,-0.5088,-0.2105,-0.756,-0.2143,-0.3779,-0.0167,-0.0925,3.2184,1.7835,0.4234,0.9982,0.0018,0.0,13876800.0
118,0.7,0.3982,-0.0159,12.7546,468.56,2000.0,0.4495,4.4984,16.8799,0.2527,7.9082,-3.7596,-0.0011,-0.5061,-0.2053,-0.7668,-0.2296,-0.4112,-0.0169,-0.0923,3.2115,1.4887,0.4372,0.9984,0.0016,0.0,13994400.0
119,0.7,0.3939,-0.0158,12.7427,470.12,2000.0,0.4136,4.5086,17.3156,0.2594,7.4764,-3.7521,-0.0011,-0.4922,-0.1978,-0.7787,-0.2555,-0.4529,-0.0172,-0.092,3.207,1.4803,0.4271,0.9984,0.0016,0.0,14112000.0
120,0.7,0.4003,-0.0156,12.7109,469.22,2000.0,0.4681,4.5186,15.9553,0.2457,7.7258,-3.7402,-0.0013,-0.499,-0.2156,-0.7657,-0.2355,-0.4235,-0.017,-0.0914,3.2005,1.6736,0.418,0.9984,0.0016,0.0,14229600.0
121,0.7,0.4014,-0.0156,12.6872,472.79,2000.0,0.4714,4.5103,16.2956,0.255,8.1482,-3.724,-0.0012,-0.4997,-0.2047,-0.736,-0.1733,-0.3687,-0.0162,-0.0891,3.1946,1.6148,0.4256,0.9984,0.0016,0.0,14347200.0
122,0.7,0.3936,-0.016,12.6713,458.14,2000.0,0.4777,4.5025,14.7497,0.2554,8.4488,-3.72,-0.0012,-0.5121,-0.2033,-0.774,-0.214,-0.3337,-0.0165,-0.0912,3.1888,1.9159,0.4331,0.9987,0.0013,0.0,14464800.0
123,0.7,0.401,-0.0148,12.6526,449.36,2000.0,0.4838,4.5043,15.1982,0.251,8.1209,-3.7064,-0.0013,-0.504,-0.2093,-0.7449,-0.1876,-0.3777,-0.0163,-0.09,3.1843,1.7622,0.4312,0.9988,0.0012,0.0,14582400.0
124,0.7,0.3936,-0.0158,12.6364,469.15,2000.0,0.4729,4.514,16.4225,0.2493,8.2361,-3.7052,-0.0012,-0.4997,-0.2072,-0.7574,-0.2106,-0.3553,-0.0166,-0.0906,3.1795,1.5636,0.4219,0.9989,0.0011,0.0,14700000.0
125,0.7,0.3912,-0.0161,12.6129,463.04,2000.0,0.4703,4.5222,15.0505,0.2576,8.5018,-3.6922,-0.0012,-0.4882,-0.2013,-0.749,-0.2298,-0.3352,-0.0168,-0.091,3.1749,1.8061,0.4144,0.999,0.001,0.0,14817600.0
126,0.7,0.3956,-0.0155,12.6047,451.13,2000.0,0.4779,4.5043,14.7407,0.2491,8.2476,-3.681,-0.0012,-0.4924,-0.2016,-0.7585,-0.2509,-0.3628,-0.017,-0.0906,3.1706,1.8455,0.4308,0.9993,0.0007,0.0,14935200.0
127,0.7,0.4038,-0.0163,12.5883,465.68,2000.0,0.4846,4.5116,16.4658,0.2591,8.3576,-3.6698,-0.0013,-0.5044,-0.1991,-0.7115,-0.1844,-0.3377,-0.0162,-0.0894,3.1674,1.5158,0.4243,0.9994,0.0006,0.0,15052800.0
128,0.7,0.4009,-0.0165,12.5647,468.14,2000.0,0.4759,4.5172,15.4479,0.2462,7.9126,-3.6668,-0.0013,-0.4963,-0.2062,-0.7512,-0.1978,-0.3981,-0.0162,-0.0899,3.1647,1.7128,0.419,0.9994,0.0006,0.0,15170400.0
129,0.7,0.3812,-0.0159,12.5594,461.16,2000.0,0.489,4.5203,14.7324,0.256,8.4759,-3.6566,-0.0014,-0.4981,-0.209,-0.7587,-0.219,-0.3352,-0.0166,-0.0914,3.1635,1.8423,0.4159,0.9994,0.0006,0.0,15288000.0
130,0.69,0.3886,-0.0167,12.5303,459.28,2000.0,0.474,4.5216,16.2315,0.2404,7.5383,-3.6511,-0.0013,-0.4853,-0.2115,-0.7799,-0.2258,-0.4633,-0.0168,-0.0893,3.1643,1.6298,0.415,0.9994,0.0006,0.0,15405600.0
131,0.69,0.4374,-0.0152,12.5191,473.99,1996.91,0.4879,4.4989,15.3072,0.2561,8.4664,-3.6269,-0.0013,-0.4925,-0.2036,-0.7442,-0.2038,-0.3309,-0.0163,-0.0902,3.1639,1.7571,0.4213,0.9993,0.0007,0.0,15523200.0
132,0.69,0.3995,-0.0174,12.504,465.18,1996.91,0.4725,4.5186,15.1868,0.253,8.0325,-3.6237,-0.0012,-0.4968,-0.2021,-0.7381,-0.1793,-0.3922,-0.0161,-0.0891,3.1638,1.78,0.4178,0.9992,0.0008,0.0,15640800.0
133,0.69,0.4172,-0.0166,12.4887,456.12,1986.25,0.4754,4.4676,15.68,0.2422,8.1748,-3.5912,-0.0012,-0.4871,-0.2032,-0.74,-0.199,-0.3578,-0.0161,-0.0891,3.1632,1.6404,0.4211,0.999,0.001,0.0,15758400.0
134,0.69,0.4268,-0.0158,12.4694,456.98,1997.22,0.5016,4.5011,15.0463,0.2453,8.3235,-3.6168,-0.0014,-0.4886,-0.2112,-0.7458,-0.2099,-0.3425,-0.0165,-0.089,3.1624,1.809,0.4276,0.9991,0.0009,0.0,15876000.0
135,0.69,0.4309,-0.015,12.4511,473.79,1993.55,0.496,4.5057,16.2212,0.246,8.1336,-3.6023,-0.0017,-0.4964,-0.2121,-0.7339,-0.2034,-0.3655,-0.0163,-0.091,3.1615,1.5765,0.421,0.999,0.001,0.0,15993600.0
136,0.69,0.4655,-0.0146,12.4135,472.41,1958.5,0.4928,4.3373,16.1596,0.2269,8.0299,-3.4679,-0.0015,-0.4696,-0.2097,-0.7136,-0.2253,-0.328,-0.0161,-0.0872,3.1623,1.4744,0.4044,0.9986,0.0014,0.0,16111200.0
137,0.69,0.4447,-0.0154,12.4096,461.29,1936.56,0.4851,4.4194,15.3759,0.2374,7.7389,-3.5185,-0.0015,-0.4842,-0.216,-0.7217,-0.1814,-0.4054,-0.0158,-0.0875,3.1626,1.6939,0.4161,0.9981,0.0019,0.0,16228800.0
138,0.69,0.4375,-0.0159,12.391,473.24,1979.67,0.5016,4.5148,16.7308,0.2464,8.2313,-3.5868,-0.0016,-0.4873,-0.2105,-0.7819,-0.1797,-0.3657,-0.016,-0.0897,3.1634,1.5053,0.4148,0.9974,0.0026,0.0,16346400.0
139,0.69,0.5245,-0.0131,12.3757,455.98,1919.13,0.487,4.2392,14.0515,0.2228,7.7804,-3.361,-0.0015,-0.4684,-0.2031,-0.6977,-0.1608,-0.3251,-0.0151,-0.0835,3.1647,1.6614,0.3943,0.9969,0.0031,0.0,16464000.0
140,0.69,0.4553,-0.015,12.3528,443.95,1935.57,0.4582,4.435,16.1938,0.2443,7.5076,-3.5132,-0.0013,-0.4872,-0.2084,-0.7243,-0.2274,-0.4425,-0.0164,-0.0898,3.1666,1.5663,0.4165,0.9963,0.0037,0.0,16581600.0
141,0.69,0.5372,-0.0145,12.3413,465.47,1914.41,0.4796,4.3987,16.6526,0.2453,8.0756,-3.4832,-0.0013,-0.4855,-0.201,-0.6994,-0.1859,-0.3536,-0.0157,-0.0883,3.1688,1.4254,0.4132,0.9951,0.0049,0.0,16699200.0
142,0.69,0.4976,-0.0145,12.3289,477.91,1947.91,0.495,4.3763,16.3526,0.232,7.6912,-3.4648,-0.0014,-0.482,-0.2096,-0.7315,-0.2226,-0.3965,-0.0162,-0.089,3.1723,1.4694,0.4162,0.9939,0.0061,0.0,16816800.0
143,0.69,0.5143,-0.0127,12.3187,451.77,1925.11,0.452,4.314,15.2871,0.2295,7.1523,-3.4115,-0.0014,-0.4752,-0.2041,-0.7383,-0.2291,-0.4324,-0.016,-0.0886,3.175,1.5971,0.4107,0.9931,0.0069,0.0,16934400.0
144,0.68,0.5262,-0.0132,12.3085,454.67,1886.85,0.493,4.3241,16.1346,0.2285,7.5146,-3.4196,-0.0017,-0.4762,-0.2092,-0.7208,-0.223,-0.3901,-0.0161,-0.0884,3.1759,1.4944,0.4161,0.9921,0.0079,0.0,17052000.0
145,0.68,0.4907,-0.0145,12.2971,462.7,1925.15,0.4962,4.3953,16.2617,0.2328,7.6463,-3.481,-0.0016,-0.4827,-0.218,-0.7359,-0.2159,-0.4036,-0.0161,-0.0904,3.1765,1.5056,0.4243,0.9912,0.0088,0.0,17169600.0
146,0.68,0.4521,-0.015,12.2722,488.55,1959.56,0.4745,4.4393,17.5863,0.2462,8.0209,-3.5063,-0.0014,-0.4895,-0.2054,-0.7474,-0.2177,-0.3856,-0.0163,-0.0914,3.1802,1.3453,0.4317,0.9904,0.0096,0.0,17287200.0
147,0.68,0.4526,-0.0146,12.2478,491.79,1948.39,0.5172,4.4127,16.4504,0.2318,8.1867,-3.4912,-0.0015,-0.4909,-0.219,-0.732,-0.2093,-0.3416,-0.0162,-0.0909,3.1839,1.5208,0.4331,0.9896,0.0104,0.0,17404800.0
148,0.68,0.449,-0.0161,12.226,480.43,1999.74,0.5144,4.4986,15.9611,0.2397,8.2662,-3.5377,-0.0015,-0.4971,-0.2146,-0.7649,-0.1958,-0.3629,-0.0163,-0.0918,3.1861,1.6666,0.4365,0.9893,0.0107,0.0,17522400.0
149,0.68,0.5957,-0.0142,12.1984,450.34,1910.15,0.497,4.081,14.0085,0.2087,7.32,-3.2089,-0.0019,-0.4545,-0.2135,-0.6973,-0.1852,-0.335,-0.0149,-0.0839,3.187,1.5247,0.3948,0.9882,0.0118,0.0,17640000.0
150,0.68,0.435,-0.0158,12.1678,461.52,1902.49,0.5139,4.4449,16.2582,0.2375,8.4558,-3.4996,-0.0015,-0.4911,-0.2169,-0.7447,-0.1602,-0.3171,-0.0156,-0.0908,3.1873,1.5629,0.4287,0.9871,0.0129,0.0,17757600.0
151,0.68,0.4206,-0.0163,12.1294,479.92,1958.96,0.5097,4.416,15.6819,0.2306,8.013,-3.4764,-0.0014,-0.4912,-0.2088,-0.7374,-0.2496,-0.3605,-0.0166,-0.0918,3.1879,1.6342,0.4376,0.9865,0.0135,0.0,17875200.0
152,0.67,0.441,-0.0153,12.1033,460.35,1947.49,0.4993,4.445,16.1275,0.2405,8.0098,-3.4901,-0.0015,-0.5027,-0.2096,-0.7473,-0.2462,-0.3842,-0.0166,-0.095,3.1879,1.5708,0.4257,0.986,0.014,0.0,17992800.0
153,0.67,0.4843,-0.0146,12.0556,452.66,1908.35,0.5168,4.2341,15.1263,0.216,7.6407,-3.3315,-0.0019,-0.4759,-0.2232,-0.708,-0.2297,-0.3485,-0.016,-0.0891,3.1893,1.5864,0.4387,0.9851,0.0149,0.0,18110400.0
154,0.67,0.4377,-0.0143,12.0272,455.35,1931.74,0.5283,4.416,15.2684,0.2302,8.0727,-3.4598,-0.0016,-0.4936,-0.2178,-0.7167,-0.1527,-0.3535,-0.0155,-0.0902,3.1923,1.7425,0.4265,0.984,0.016,0.0,18228000.0
155,0.67,0.4378,-0.0133,11.996,476.43,1955.62,0.5125,4.4265,16.6983,0.2393,7.7138,-3.4715,-0.0017,-0.4985,-0.2171,-0.7009,-0.1588,-0.4154,-0.0156,-0.0908,3.1941,1.5149,0.4272,0.9835,0.0165,0.0,18345600.0
156,0.67,0.3602,-0.0162,11.9571,475.47,1968.92,0.4959,4.4661,16.7084,0.236,7.7459,-3.5007,-0.0015,-0.4975,-0.2151,-0.7507,-0.196,-0.419,-0.0162,-0.0933,3.1981,1.5359,0.4308,0.983,0.017,0.0,18463200.0
157,0.66,0.4224,-0.0151,11.9274,459.01,1927.47,0.5238,4.3216,14.8218,0.2312,7.9565,-3.3869,-0.0017,-0.5044,-0.2157,-0.7074,-0.1597,-0.342,-0.0154,-0.0909,3.2025,1.6265,0.4259,0.9824,0.0176,0.0,18580800.0
158,0.66,0.3915,-0.0153,11.8975,463.55,1939.66,0.5374,4.4502,16.6747,0.2286,8.0561,-3.4899,-0.0017,-0.5036,-0.2329,-0.7371,-0.1743,-0.381,-0.016,-0.0928,3.2069,1.5159,0.4351,0.9819,0.0181,0.0,18698400.0
159,0.66,0.4058,-0.0142,11.8708,485.83,1980.25,0.5182,4.4366,16.4288,0.2347,8.3514,-3.4871,-0.0016,-0.5096,-0.2159,-0.7765,-0.2889,-0.3383,-0.0172,-0.0988,3.2122,1.5032,0.4511,0.9817,0.0183,0.0,18816000.0
160,0.66,0.3759,-0.0159,11.8328,497.41,1963.36,0.5102,4.4325,18.3205,0.2363,7.8065,-3.4718,-0.0017,-0.5134,-0.2244,-0.7602,-0.2743,-0.3901,-0.017,-0.0986,3.2171,1.2572,0.4399,0.9811,0.0189,0.0,18933600.0
161,0.66,0.3357,-0.0173,11.7969,487.18,1967.42,0.5116,4.457,17.0002,0.2341,7.6575,-3.4953,-0.0017,-0.5083,-0.2148,-0.7182,-0.1934,-0.4336,-0.0161,-0.0954,3.2225,1.4656,0.4358,0.9807,0.0193,0.0,19051200.0
162,0.66,0.3761,-0.0156,11.7614,477.96,1954.12,0.5465,4.3059,16.3895,0.2223,7.865,-3.3905,-0.0022,-0.5084,-0.2337,-0.7492,-0.246,-0.3468,-0.0165,-0.0969,3.2277,1.4804,0.459,0.9802,0.0198,0.0,19168800.0
163,0.65,0.3954,-0.0145,11.7368,473.13,1928.99,0.5245,4.3528,16.4988,0.2241,7.9634,-3.4265,-0.0016,-0.508,-0.2193,-0.737,-0.2003,-0.3629,-0.016,-0.096,3.2314,1.4987,0.4541,0.9795,0.0205,0.0,19286400.0
164,0.65,0.3113,-0.0158,11.6981,486.84,1963.71,0.528,4.4788,18.066,0.2332,7.8715,-3.5207,-0.0017,-0.5158,-0.2224,-0.7375,-0.2164,-0.4106,-0.0167,-0.0977,3.2368,1.3665,0.4567,0.9792,0.0208,0.0,19404000.0
165,0.65,0.3829,-0.0134,11.6804,496.3,1953.54,0.4996,4.2553,17.6935,0.2135,7.4596,-3.3445,-0.0017,-0.49,-0.2166,-0.7215,-0.2181,-0.3975,-0.0159,-0.0944,3.2439,1.163,0.4217,0.9786,0.0214,0.0,19521600.0
166,0.65,0.3587,-0.0144,11.6361,487.13,1976.81,0.5302,4.4406,17.4751,0.2242,7.4789,-3.4995,-0.0018,-0.5267,-0.2356,-0.7427,-0.2367,-0.4472,-0.0169,-0.0997,3.2491,1.3981,0.4653,0.9782,0.0218,0.0,19639200.0
167,0.65,0.4213,-0.0123,11.6157,478.7,1966.5,0.5167,4.4359,16.3646,0.2377,7.9931,-3.4813,-0.0016,-0.5134,-0.2184,-0.7396,-0.1899,-0.3759,-0.0161,-0.098,3.258,1.5437,0.4476,0.9778,0.0222,0.0,19756800.0
168,0.65,0.3734,-0.0147,11.5705,497.11,1977.77,0.5502,4.4113,17.4966,0.2185,8.0384,-3.4746,-0.0018,-0.5392,-0.2404,-0.7583,-0.2652,-0.3627,-0.017,-0.102,3.2723,1.3627,0.4799,0.9774,0.0226,0.0,19874400.0
169,0.64,0.4649,-0.0144,11.546,476.8,1941.52,0.5432,4.3384,16.0452,0.2132,7.9941,-3.4224,-0.0018,-0.5175,-0.2319,-0.759,-0.2363,-0.35,-0.0165,-0.0993,3.2831,1.5347,0.4628,0.9764,0.0236,0.0,19992000.0
170,0.64,0.3866,-0.0156,11.5139,478.27,1950.32,0.5464,4.3502,16.6503,0.2144,7.9782,-3.4236,-0.0018,-0.5292,-0.2358,-0.7399,-0.2243,-0.3536,-0.0164,-0.1002,3.2931,1.4012,0.4709,0.9754,0.0246,0.0,20109600.0
171,0.64,0.3306,-0.0154,11.4951,491.87,1933.93,0.5223,4.2665,16.4717,0.2175,8.0977,-3.36,-0.0016,-0.5091,-0.2132,-0.7212,-0.2247,-0.3168,-0.0161,-0.0992,3.3021,1.3723,0.4453,0.9746,0.0254,0.0,20227200.0
172,0.64,0.315,-0.0157,11.4825,491.98,1956.91,0.5155,4.3492,17.2888,0.2263,7.6913,-3.4302,-0.0016,-0.5273,-0.2185,-0.6995,-0.194,-0.3967,-0.016,-0.0994,3.3112,1.3348,0.4562,0.9742,0.0258,0.0,20344800.0
173,0.64,0.392,-0.0134,11.4505,508.83,1964.81,0.5325,4.3816,18.6075,0.2325,8.3069,-3.4469,-0.0017,-0.5269,-0.2236,-0.753,-0.25,-0.319,-0.0167,-0.1031,3.3223,1.1561,0.4563,0.9737,0.0263,0.0,20462400.0
174,0.64,0.3714,-0.0146,11.4343,509.85,1955.55,0.5396,4.2119,16.3732,0.2119,7.8936,-3.3309,-0.0018,-0.5258,-0.2232,-0.6857,-0.2255,-0.3218,-0.0161,-0.1,3.332,1.3716,0.4599,0.9732,0.0268,0.0,20580000.0
175,0.64,0.3511,-0.0155,11.4093,493.16,1956.67,0.5492,4.4089,16.872,0.2381,8.2884,-3.4604,-0.0019,-0.549,-0.2203,-0.7277,-0.2336,-0.3202,-0.0166,-0.1043,3.3394,1.4553,0.4612,0.9727,0.0273,0.0,20697600.0
176,0.64,0.3285,-0.0156,11.3803,494.75,1974.71,0.5286,4.3992,17.7174,0.2228,7.9233,-3.4629,-0.0018,-0.5346,-0.2287,-0.7564,-0.2457,-0.3849,-0.017,-0.1044,3.3482,1.3208,0.4725,0.9724,0.0276,0.0,20815200.0
177,0.63,0.3194,-0.0167,11.3555,491.73,1955.27,0.5563,4.4069,16.914,0.2262,8.1779,-3.4687,-0.0017,-0.5463,-0.228,-0.7282,-0.1878,-0.35,-0.0163,-0.1027,3.3573,1.432,0.4751,0.9718,0.0282,0.0,20932800.0
178,0.63,0.3312,-0.0146,11.3223,501.99,1962.51,0.5619,4.4083,18.0673,0.2229,8.0478,-3.4807,-0.002,-0.5613,-0.2432,-0.7536,-0.1999,-0.3649,-0.0164,-0.1053,3.3671,1.3113,0.48,0.9714,0.0286,0.0,21050400.0
179,0.63,0.3256,-0.0169,11.2925,507.06,1982.78,0.5516,4.4167,16.9699,0.2208,7.8522,-3.4988,-0.002,-0.5459,-0.2418,-0.7539,-0.2036,-0.399,-0.0165,-0.1051,3.3776,1.4393,0.4825,0.9712,0.0288,0.0,21168000.0
180,0.63,0.3747,-0.0158,11.2708,495.1,1980.34,0.563,4.3673,16.9341,0.219,7.777,-3.4646,-0.002,-0.5547,-0.2473,-0.7291,-0.2272,-0.3847,-0.0167,-0.1068,3.389,1.4148,0.4866,0.971,0.029,0.0,21285600.0
181,0.63,0.3264,-0.0157,11.2405,492.09,1951.81,0.5595,4.3415,17.4152,0.219,8.1464,-3.4381,-0.0018,-0.5401,-0.2281,-0.7433,-0.2188,-0.3348,-0.0163,-0.1047,3.4001,1.3234,0.4703,0.9703,0.0297,0.0,21403200.0
182,0.63,0.3812,-0.0144,11.2162,508.84,1991.27,0.5459,4.433,18.6469,0.2229,7.8398,-3.508,-0.002,-0.5478,-0.2409,-0.7604,-0.2448,-0.4072,-0.017,-0.1091,3.413,1.1802,0.479,0.97,0.03,0.0,21520800.0
183,0.63,0.3219,-0.0142,11.1893,519.92,1989.72,0.5706,4.4495,18.7619,0.226,8.5031,-3.5141,-0.0018,-0.5548,-0.2304,-0.7626,-0.2574,-0.3104,-0.0171,-0.11,3.4268,1.1982,0.4723,0.9697,0.0303,0.0,21638400.0
184,0.62,0.3476,-0.0133,11.1645,515.17,1970.24,0.5601,4.3611,18.1466,0.2167,8.0884,-3.4643,-0.0018,-0.5665,-0.2325,-0.7272,-0.2252,-0.3506,-0.0165,-0.1092,3.4376,1.2201,0.492,0.9695,0.0305,0.0,21756000.0
185,0.62,0.367,-0.0145,11.1209,493.33,1961.25,0.5755,4.3964,16.5929,0.2271,8.0549,-3.4736,-0.0019,-0.5757,-0.235,-0.7271,-0.1832,-0.3532,-0.0161,-0.1083,3.4504,1.523,0.4802,0.969,0.031,0.0,21873600.0
186,0.62,0.356,-0.0152,11.0849,488.95,1957.05,0.5656,4.2576,17.0435,0.2128,7.8606,-3.3927,-0.0019,-0.5709,-0.2378,-0.7323,-0.2126,-0.348,-0.0162,-0.1081,3.4631,1.3297,0.4995,0.9684,0.0316,0.0,21991200.0
187,0.62,0.349,-0.0144,11.0466,504.0,1953.57,0.5577,4.3864,18.2642,0.2174,8.1934,-3.4808,-0.0018,-0.5633,-0.237,-0.7157,-0.2244,-0.3361,-0.0165,-0.1096,3.4745,1.2339,0.4802,0.9677,0.0323,0.0,22108800.0
