iteration,total_iterations,action_noise_std,value_function_loss,surrogate_loss,entropy_loss,mean_reward,mean_episode_length,rew_air_time,rew_base_angular_vel,rew_base_linear_vel,rew_foot_clearance,rew_gait,rew_action_smoothness,rew_air_time_variance,rew_base_motion,rew_base_orientation,rew_foot_slip,rew_joint_acc,rew_joint_pos,rew_joint_torques,rew_joint_vel,terrain_level,error_vel_xy,error_vel_yaw,term_timeout,term_body_contact,term_out_of_bounds,total_timesteps,iteration_time_s
413,30000,0.36,0.2533,-0.0035,4.7394,768.2,2000.0,0.8849,4.6859,27.2602,0.1787,9.1886,-2.0926,-0.0033,-0.3791,-0.147,-0.6433,-0.1166,-0.4325,-0.0165,-0.0935,4.994,0.2193,0.2646,0.9992,0.0008,0.0,48686400.0,1.94
414,30000,0.36,0.1149,-0.0072,4.7094,766.9,2000.0,0.8956,4.6816,27.2505,0.1775,9.1733,-2.0799,-0.0033,-0.3808,-0.1484,-0.6495,-0.1238,-0.4314,-0.0167,-0.0942,4.9918,0.2191,0.2684,0.9992,0.0008,0.0,48804000.0,1.93
415,30000,0.36,0.1142,-0.0049,4.7158,761.74,2000.0,0.9123,4.6808,27.1401,0.1758,9.1544,-2.0742,-0.0035,-0.3827,-0.1485,-0.6539,-0.1372,-0.4312,-0.0167,-0.0947,4.995,0.2289,0.2692,0.9992,0.0008,0.0,48921600.0,1.98
416,30000,0.36,0.123,-0.0073,4.681,761.2,2000.0,0.8546,4.6926,27.4343,0.1799,9.2218,-2.0983,-0.003,-0.3704,-0.141,-0.6456,-0.1269,-0.4307,-0.0166,-0.0938,5.0018,0.2038,0.2587,0.9992,0.0008,0.0,49039200.0,1.95
417,30000,0.36,0.1133,-0.0063,4.6624,766.25,2000.0,0.8627,4.6914,27.2962,0.179,9.2335,-2.0968,-0.003,-0.3699,-0.1424,-0.6489,-0.1121,-0.4286,-0.0164,-0.0937,5.0131,0.2157,0.2598,0.9992,0.0008,0.0,49156800.0,1.95
418,30000,0.36,0.1129,-0.0075,4.6466,771.62,2000.0,0.8775,4.6954,27.8807,0.1787,9.239,-2.0841,-0.0031,-0.3703,-0.142,-0.6505,-0.1237,-0.4302,-0.0166,-0.0943,5.0178,0.163,0.2562,0.9993,0.0007,0.0,49274400.0,1.93
419,30000,0.36,0.1134,-0.0056,4.6469,761.95,2000.0,0.8751,4.6972,26.8463,0.1782,9.2194,-2.091,-0.0031,-0.3752,-0.1428,-0.6436,-0.1066,-0.4336,-0.0164,-0.0936,5.0237,0.2567,0.2547,0.9994,0.0006,0.0,49392000.0,1.93
420,30000,0.36,0.1142,-0.0083,4.6154,764.39,2000.0,0.8845,4.6928,26.904,0.1796,9.2125,-2.0819,-0.0033,-0.3692,-0.1437,-0.6432,-0.1307,-0.4343,-0.0168,-0.0931,5.0305,0.2517,0.2585,0.9994,0.0006,0.0,49509600.0,1.94
421,30000,0.36,0.1517,-0.0055,4.6205,759.17,1980.71,0.8568,4.6016,27.0379,0.174,9.0562,-2.0397,-0.0031,-0.3639,-0.1406,-0.6406,-0.132,-0.4207,-0.0163,-0.0927,5.0369,0.1856,0.2505,0.9992,0.0008,0.0,49627200.0,1.91
422,30000,0.36,0.1105,-0.0049,4.6062,766.37,1980.71,0.8963,4.6881,27.5136,0.176,9.2102,-2.0673,-0.0033,-0.3751,-0.145,-0.6434,-0.1178,-0.431,-0.0166,-0.0949,5.0402,0.196,0.2628,0.9992,0.0008,0.0,49744800.0,1.92
423,30000,0.36,0.1104,-0.0076,4.5804,775.24,2000.0,0.8718,4.6933,27.7164,0.1784,9.2302,-2.087,-0.0031,-0.3697,-0.1425,-0.6492,-0.136,-0.4326,-0.0167,-0.0947,5.0481,0.1777,0.2581,0.9992,0.0008,0.0,49862400.0,1.93
424,30000,0.35,0.1126,-0.0063,4.5806,770.61,2000.0,0.8642,4.6914,27.1469,0.1774,9.2312,-2.0805,-0.0031,-0.3702,-0.1412,-0.6494,-0.1465,-0.433,-0.0167,-0.0962,5.0555,0.2296,0.2598,0.9992,0.0008,0.0,49980000.0,1.94
425,30000,0.35,0.1128,-0.0072,4.5677,762.05,2000.0,0.8768,4.696,27.0385,0.1784,9.2474,-2.0785,-0.0031,-0.3718,-0.1423,-0.6511,-0.1305,-0.4333,-0.0167,-0.0947,5.0601,0.2399,0.2557,0.9992,0.0008,0.0,50097600.0,1.92
426,30000,0.35,0.1125,-0.0071,4.5378,773.4,2000.0,0.9342,4.6907,27.4919,0.1756,9.1843,-2.0517,-0.0035,-0.3817,-0.1495,-0.6545,-0.1083,-0.4362,-0.0165,-0.0941,5.0633,0.1977,0.2603,0.9992,0.0008,0.0,50215200.0,1.94
427,30000,0.35,0.114,-0.0054,4.5401,773.48,2000.0,0.8661,4.6983,27.3505,0.1787,9.2624,-2.0785,-0.003,-0.3662,-0.1417,-0.6492,-0.1305,-0.4329,-0.0166,-0.0953,5.0674,0.2118,0.2537,0.9992,0.0008,0.0,50332800.0,1.89
428,30000,0.35,0.1631,-0.005,4.5262,763.84,1980.44,0.9051,4.5978,26.9103,0.1728,9.0239,-2.0087,-0.0034,-0.3715,-0.1434,-0.6404,-0.1233,-0.4256,-0.0163,-0.0919,5.0743,0.1953,0.2526,0.9991,0.0009,0.0,50450400.0,1.93
429,30000,0.35,0.1138,-0.0081,4.4894,759.97,1980.44,0.9334,4.6922,27.0219,0.1754,9.1888,-2.0414,-0.0036,-0.3797,-0.1492,-0.659,-0.1176,-0.4375,-0.0167,-0.0954,5.084,0.2404,0.2589,0.999,0.001,0.0,50568000.0,1.92
430,30000,0.35,0.1129,-0.0064,4.4821,770.29,2000.0,0.921,4.6911,27.1653,0.1776,9.2088,-2.0488,-0.0034,-0.374,-0.145,-0.6445,-0.1085,-0.4384,-0.0166,-0.0945,5.0926,0.2274,0.26,0.999,0.001,0.0,50685600.0,2.1
431,30000,0.35,0.1134,-0.0066,4.4389,778.54,2000.0,0.9066,4.6926,27.9773,0.1754,9.2295,-2.0511,-0.0033,-0.3745,-0.1456,-0.6642,-0.1412,-0.4317,-0.0168,-0.096,5.1,0.1542,0.2586,0.999,0.001,0.0,50803200.0,2.02
432,30000,0.35,0.1139,-0.0069,4.4504,769.61,2000.0,0.9103,4.6992,26.9136,0.1763,9.2336,-2.0497,-0.0033,-0.3683,-0.1457,-0.6482,-0.1101,-0.4389,-0.0166,-0.0945,5.1049,0.2509,0.2529,0.9991,0.0009,0.0,50920800.0,1.98
433,30000,0.35,0.1124,-0.0072,4.4229,770.76,2000.0,0.8934,4.7028,27.6658,0.1752,9.2381,-2.0562,-0.0032,-0.3686,-0.1442,-0.6464,-0.1296,-0.4335,-0.0166,-0.0956,5.1126,0.1827,0.2497,0.9992,0.0008,0.0,51038400.0,2.02
434,30000,0.35,0.1119,-0.0076,4.42,775.94,2000.0,0.9153,4.6977,27.8402,0.1746,9.2345,-2.0399,-0.0033,-0.3755,-0.1462,-0.6545,-0.1376,-0.4322,-0.0167,-0.0969,5.1154,0.1666,0.2541,0.9992,0.0008,0.0,51156000.0,1.93
435,30000,0.35,0.1139,-0.0069,4.4128,771.17,2000.0,0.9,4.7002,27.3208,0.1768,9.2524,-2.0542,-0.0033,-0.3695,-0.1452,-0.6537,-0.1396,-0.4366,-0.0168,-0.0954,5.1204,0.2136,0.2519,0.9992,0.0008,0.0,51273600.0,1.92
436,30000,0.35,0.1106,-0.0033,4.4286,761.36,2000.0,0.9464,4.6915,26.808,0.1781,9.2596,-2.0461,-0.0035,-0.3796,-0.1495,-0.6457,-0.0798,-0.4369,-0.0163,-0.0924,5.125,0.2601,0.2597,0.9992,0.0008,0.0,51391200.0,1.95
437,30000,0.35,0.1091,-0.007,4.3788,765.49,2000.0,0.9377,4.6948,26.9847,0.1754,9.2398,-2.0329,-0.0035,-0.3772,-0.1476,-0.6525,-0.1235,-0.4329,-0.0165,-0.0955,5.1287,0.2442,0.2567,0.9992,0.0008,0.0,51508800.0,1.92
438,30000,0.35,0.1102,-0.0071,4.3798,773.78,2000.0,0.9091,4.7055,27.5717,0.177,9.2666,-2.043,-0.0033,-0.3666,-0.1451,-0.6514,-0.1225,-0.4355,-0.0167,-0.0944,5.1378,0.1915,0.2474,0.9992,0.0008,0.0,51626400.0,1.97
439,30000,0.35,0.1604,-0.0058,4.3518,761.44,1980.72,0.9094,4.6318,26.2504,0.172,9.1007,-2.0028,-0.0034,-0.3726,-0.146,-0.6412,-0.1279,-0.4319,-0.0164,-0.0952,5.1449,0.2749,0.2534,0.9991,0.0009,0.0,51744000.0,1.93
440,30000,0.35,0.1118,-0.0053,4.3539,770.58,1980.72,0.9433,4.6972,27.6651,0.1765,9.2393,-2.0289,-0.0035,-0.377,-0.1473,-0.6405,-0.0954,-0.4397,-0.0164,-0.0946,5.1513,0.1825,0.2547,0.999,0.001,0.0,51861600.0,1.95
441,30000,0.35,0.111,-0.0072,4.3292,777.75,2000.0,0.9117,4.7051,27.5061,0.1769,9.2736,-2.0405,-0.0032,-0.3642,-0.1435,-0.6423,-0.1006,-0.4371,-0.0164,-0.0949,5.1541,0.197,0.2476,0.999,0.001,0.0,51979200.0,1.94
442,30000,0.35,0.112,-0.005,4.3344,772.22,2000.0,0.8867,4.716,27.6001,0.1784,9.3206,-2.0498,-0.003,-0.3606,-0.1399,-0.6393,-0.0886,-0.4375,-0.0162,-0.0929,5.156,0.1897,0.2381,0.999,0.001,0.0,52096800.0,1.87
443,30000,0.35,0.1255,-0.0057,4.324,769.66,2000.0,0.9304,4.701,27.0893,0.1772,9.2555,-2.0298,-0.0034,-0.3719,-0.1457,-0.6514,-0.1155,-0.4396,-0.0166,-0.0948,5.1566,0.2349,0.2513,0.999,0.001,0.0,52214400.0,1.92
444,30000,0.35,0.2198,-0.005,4.3167,752.9,1961.08,0.8577,4.416,25.701,0.165,8.7078,-1.9089,-0.0031,-0.3444,-0.1351,-0.6115,-0.1258,-0.4102,-0.0156,-0.0909,5.1549,0.1968,0.2355,0.9989,0.0011,0.0,52332000.0,1.91
445,30000,0.35,0.1171,-0.0072,4.27,744.86,1941.76,0.8629,4.5198,25.9836,0.169,8.915,-1.9581,-0.0029,-0.3494,-0.1369,-0.6281,-0.1328,-0.419,-0.016,-0.0922,5.1554,0.2275,0.2342,0.9984,0.0016,0.0,52449600.0,1.93
446,30000,0.35,0.1154,-0.0084,4.2655,770.55,2000.0,0.9806,4.6957,27.5223,0.1749,9.2381,-2.0047,-0.0037,-0.3766,-0.1481,-0.6411,-0.1036,-0.4386,-0.0165,-0.0946,5.1613,0.1949,0.256,0.9984,0.0016,0.0,52567200.0,1.93
447,30000,0.35,0.1153,-0.0072,4.2598,770.23,2000.0,0.9317,4.7035,27.3821,0.1754,9.2502,-2.0176,-0.0034,-0.3697,-0.1442,-0.6562,-0.1409,-0.4407,-0.0168,-0.0964,5.1649,0.2078,0.249,0.9984,0.0016,0.0,52684800.0,1.91
448,30000,0.34,0.1229,-0.0089,4.2435,774.37,2000.0,0.9314,4.706,27.7598,0.1767,9.294,-2.0238,-0.0034,-0.3733,-0.1444,-0.6527,-0.1212,-0.4395,-0.0166,-0.0953,5.1686,0.1741,0.2469,0.9984,0.0016,0.0,52802400.0,1.95
449,30000,0.34,0.1274,-0.0039,4.2422,766.17,1980.86,0.9652,4.6501,26.9629,0.1736,9.1413,-1.9846,-0.0037,-0.3758,-0.1502,-0.6478,-0.1148,-0.4374,-0.0166,-0.0935,5.1688,0.2193,0.2523,0.9983,0.0017,0.0,52920000.0,1.93
450,30000,0.34,0.1123,-0.0081,4.209,762.77,1980.86,0.9505,4.7025,27.4154,0.1758,9.2237,-2.0098,-0.0036,-0.3718,-0.1468,-0.6562,-0.1422,-0.445,-0.0169,-0.0956,5.1679,0.2049,0.2501,0.9982,0.0018,0.0,53037600.0,1.91
451,30000,0.34,0.1128,-0.0072,4.2311,763.5,2000.0,0.9565,4.7032,26.9961,0.1738,9.2629,-1.9999,-0.0035,-0.3682,-0.1456,-0.6623,-0.131,-0.4377,-0.0167,-0.0962,5.1706,0.2438,0.2494,0.9982,0.0018,0.0,53155200.0,1.92
452,30000,0.34,0.1231,-0.0073,4.2283,768.81,2000.0,0.987,4.6957,27.1785,0.1735,9.2419,-1.9845,-0.0039,-0.3784,-0.151,-0.6543,-0.1224,-0.4405,-0.0167,-0.0952,5.1744,0.2263,0.2559,0.9982,0.0018,0.0,53272800.0,1.96
453,30000,0.34,0.1446,-0.004,4.2063,767.4,1980.62,0.9382,4.6607,27.177,0.1732,9.2032,-1.9893,-0.0034,-0.3692,-0.1424,-0.6476,-0.1007,-0.4327,-0.0162,-0.0941,5.1752,0.1999,0.2424,0.9981,0.0019,0.0,53390400.0,1.96
454,30000,0.34,0.1129,-0.0059,4.1878,766.31,1980.62,0.9436,4.7082,27.6036,0.1752,9.2812,-2.0107,-0.0035,-0.3726,-0.1469,-0.6518,-0.1378,-0.44,-0.0168,-0.0953,5.1765,0.1882,0.245,0.998,0.002,0.0,53508000.0,1.95
455,30000,0.34,0.1127,-0.0062,4.1764,770.77,2000.0,0.9661,4.7054,27.3471,0.1752,9.2746,-1.9976,-0.0035,-0.3716,-0.148,-0.6417,-0.1005,-0.4415,-0.0165,-0.0943,5.1834,0.2118,0.2474,0.998,0.002,0.0,53625600.0,1.91
456,30000,0.34,0.1145,-0.005,4.177,781.7,2000.0,0.9782,4.7073,28.3936,0.1743,9.2858,-1.9888,-0.0036,-0.3768,-0.1488,-0.6554,-0.1127,-0.4378,-0.0166,-0.0952,5.1851,0.1168,0.2457,0.998,0.002,0.0,53743200.0,1.96
457,30000,0.34,0.1137,-0.0061,4.1649,786.09,2000.0,1.0205,4.6955,27.5737,0.1734,9.2367,-1.9768,-0.0041,-0.3855,-0.1547,-0.6615,-0.1064,-0.4438,-0.0165,-0.0945,5.189,0.1905,0.256,0.998,0.002,0.0,53860800.0,1.93
458,30000,0.34,0.1135,-0.0055,4.1509,780.63,2000.0,0.9346,4.7095,27.9979,0.1759,9.3172,-2.0081,-0.0033,-0.3632,-0.1434,-0.639,-0.1094,-0.4368,-0.0164,-0.0948,5.1889,0.153,0.2437,0.998,0.002,0.0,53978400.0,1.93
459,30000,0.34,0.1114,-0.0039,4.126,773.08,2000.0,0.9201,4.7116,26.9854,0.1761,9.3298,-2.0131,-0.0032,-0.3643,-0.1441,-0.6628,-0.1182,-0.44,-0.0165,-0.095,5.1921,0.245,0.242,0.998,0.002,0.0,54096000.0,1.92
460,30000,0.34,0.1093,-0.0085,4.106,767.83,2000.0,0.9864,4.7016,27.0909,0.1737,9.2616,-1.9893,-0.0037,-0.3774,-0.1506,-0.6564,-0.1225,-0.4416,-0.0165,-0.0959,5.1975,0.2344,0.2507,0.998,0.002,0.0,54213600.0,1.95
461,30000,0.34,0.1098,-0.0065,4.0972,776.21,2000.0,0.9333,4.7186,27.4497,0.175,9.3247,-1.9948,-0.0032,-0.3606,-0.1407,-0.6476,-0.1108,-0.4399,-0.0164,-0.0945,5.2019,0.2035,0.2358,0.998,0.002,0.0,54331200.0,1.89
462,30000,0.34,0.1109,-0.0065,4.0887,769.35,2000.0,0.9992,4.7043,27.3098,0.1741,9.2653,-1.9754,-0.0038,-0.3744,-0.1501,-0.6463,-0.0999,-0.4453,-0.0164,-0.0942,5.2044,0.2143,0.2483,0.998,0.002,0.0,54448800.0,1.96
463,30000,0.34,0.1108,-0.0072,4.0802,779.32,2000.0,0.9659,4.7101,27.7952,0.1745,9.3009,-1.983,-0.0035,-0.3655,-0.146,-0.6405,-0.1182,-0.4426,-0.0166,-0.0942,5.2055,0.1715,0.2433,0.9981,0.0019,0.0,54566400.0,1.91
464,30000,0.34,0.1102,-0.006,4.0584,776.58,2000.0,0.9618,4.7063,27.6267,0.1758,9.3003,-1.9888,-0.0034,-0.3684,-0.146,-0.6471,-0.1235,-0.4433,-0.0166,-0.0951,5.2084,0.1866,0.2465,0.9982,0.0018,0.0,54684000.0,1.94
465,30000,0.34,0.1139,-0.0066,4.0585,769.87,2000.0,0.9545,4.7067,26.6649,0.1757,9.2811,-1.9885,-0.0035,-0.3703,-0.1479,-0.6571,-0.1143,-0.4464,-0.0166,-0.095,5.217,0.2738,0.2463,0.9982,0.0018,0.0,54801600.0,1.91
466,30000,0.34,0.111,-0.0075,4.036,770.14,2000.0,0.9968,4.703,27.4942,0.1746,9.2847,-1.9703,-0.0037,-0.377,-0.1516,-0.6489,-0.1344,-0.444,-0.0168,-0.0957,5.2214,0.1975,0.2496,0.9982,0.0018,0.0,54919200.0,1.92
467,30000,0.34,0.1102,-0.0053,4.0343,769.31,2000.0,0.9664,4.7128,26.9601,0.1762,9.3194,-1.9826,-0.0035,-0.3681,-0.1484,-0.6487,-0.1001,-0.4451,-0.0164,-0.0935,5.2293,0.2469,0.2409,0.9982,0.0018,0.0,55036800.0,1.94
468,30000,0.34,0.1082,-0.0064,4.0351,771.7,2000.0,0.9978,4.7061,27.8142,0.1744,9.2987,-1.9623,-0.0037,-0.3697,-0.1487,-0.6437,-0.1048,-0.4433,-0.0165,-0.0944,5.2335,0.1694,0.2467,0.9982,0.0018,0.0,55154400.0,1.93
469,30000,0.34,0.1083,-0.0063,4.0301,773.83,2000.0,1.0267,4.7007,27.2988,0.1729,9.2346,-1.9586,-0.0041,-0.3806,-0.1538,-0.6467,-0.1528,-0.446,-0.0169,-0.0962,5.2383,0.2152,0.2516,0.9982,0.0018,0.0,55272000.0,1.95
470,30000,0.34,0.1075,-0.0054,4.0201,771.89,2000.0,0.9544,4.718,27.362,0.175,9.3467,-1.9762,-0.0034,-0.3651,-0.1471,-0.6459,-0.0979,-0.4391,-0.0163,-0.0948,5.2374,0.2115,0.2363,0.9983,0.0017,0.0,55389600.0,1.92
471,30000,0.34,0.1078,-0.0079,3.9825,773.21,2000.0,0.941,4.7233,26.9532,0.1739,9.3429,-1.9781,-0.0033,-0.36,-0.1436,-0.6641,-0.1256,-0.4416,-0.0166,-0.0954,5.2387,0.2488,0.2316,0.9984,0.0016,0.0,55507200.0,1.99
472,30000,0.34,0.1096,-0.0053,3.9774,771.79,2000.0,0.9847,4.712,27.0983,0.1745,9.3016,-1.9708,-0.0037,-0.3686,-0.15,-0.6467,-0.1055,-0.4465,-0.0165,-0.0944,5.2395,0.2341,0.2416,0.9984,0.0016,0.0,55624800.0,1.91
473,30000,0.34,0.1097,-0.0051,3.9601,776.23,2000.0,0.9749,4.7136,27.7503,0.175,9.3148,-1.9671,-0.0035,-0.3672,-0.1471,-0.6589,-0.1307,-0.444,-0.0167,-0.0956,5.2421,0.1755,0.2403,0.9984,0.0016,0.0,55742400.0,1.92
474,30000,0.34,0.1095,-0.0075,3.9272,784.1,2000.0,0.9916,4.7114,27.8796,0.1766,9.3338,-1.9733,-0.0036,-0.369,-0.1496,-0.64,-0.0909,-0.4448,-0.0163,-0.093,5.25,0.1632,0.2421,0.9984,0.0016,0.0,55860000.0,1.95
475,30000,0.34,0.111,-0.0056,3.9142,782.38,2000.0,0.9864,4.7123,27.8545,0.1757,9.323,-1.9615,-0.0036,-0.3673,-0.1495,-0.6543,-0.1117,-0.445,-0.0166,-0.0946,5.2547,0.1657,0.2414,0.9984,0.0016,0.0,55977600.0,1.95
476,30000,0.33,0.1126,-0.0056,3.8854,781.89,2000.0,0.9679,4.7195,27.8796,0.1754,9.322,-1.9685,-0.0035,-0.3639,-0.1475,-0.6614,-0.1438,-0.4443,-0.0168,-0.0954,5.2608,0.1636,0.235,0.9984,0.0016,0.0,56095200.0,1.91
477,30000,0.33,0.1159,-0.0067,3.8806,781.18,2000.0,0.9999,4.7109,27.8836,0.1747,9.3164,-1.9576,-0.0036,-0.3693,-0.1508,-0.6448,-0.1059,-0.444,-0.0164,-0.0937,5.261,0.1632,0.2425,0.9984,0.0016,0.0,56212800.0,1.93
478,30000,0.33,0.1182,-0.0055,3.8816,775.38,2000.0,1.0268,4.7067,27.2295,0.1731,9.2733,-1.9418,-0.0039,-0.3729,-0.1533,-0.6471,-0.1114,-0.4478,-0.0165,-0.095,5.2634,0.2221,0.2463,0.9984,0.0016,0.0,56330400.0,1.91
479,30000,0.33,0.1178,-0.0075,3.8507,777.77,2000.0,0.9912,4.7126,27.553,0.1726,9.3144,-1.9515,-0.0036,-0.3669,-0.1484,-0.6545,-0.1289,-0.4422,-0.0166,-0.0961,5.2669,0.1932,0.2411,0.9984,0.0016,0.0,56448000.0,1.94
480,30000,0.33,0.1181,-0.008,3.8254,765.8,2000.0,0.9912,4.7171,27.0529,0.1734,9.3124,-1.9513,-0.0037,-0.3691,-0.1508,-0.6598,-0.1323,-0.4476,-0.0167,-0.0956,5.2718,0.2385,0.2371,0.9984,0.0016,0.0,56565600.0,1.96
481,30000,0.33,0.1162,-0.0061,3.8401,771.03,2000.0,1.0106,4.7093,27.4208,0.1734,9.3052,-1.9428,-0.0037,-0.3691,-0.1513,-0.6566,-0.1164,-0.4452,-0.0165,-0.0953,5.2766,0.2052,0.244,0.9984,0.0016,0.0,56683200.0,1.93
482,30000,0.33,0.1189,-0.005,3.8205,773.43,2000.0,1.0354,4.7072,27.5928,0.1746,9.2932,-1.938,-0.0039,-0.3752,-0.1519,-0.643,-0.1066,-0.4472,-0.0164,-0.0938,5.2769,0.1895,0.2458,0.9984,0.0016,0.0,56800800.0,1.89
483,30000,0.33,0.1201,-0.0046,3.8045,774.7,2000.0,0.9968,4.7096,27.4161,0.1741,9.3195,-1.9385,-0.0037,-0.3647,-0.1491,-0.6493,-0.1185,-0.4458,-0.0166,-0.0954,5.2786,0.2059,0.2437,0.9984,0.0016,0.0,56918400.0,1.92
484,30000,0.33,0.1336,-0.0023,3.7859,768.03,1980.63,0.9918,4.5942,26.8662,0.1685,9.0776,-1.8893,-0.0037,-0.3622,-0.1505,-0.6399,-0.129,-0.4359,-0.0163,-0.0932,5.282,0.1903,0.2391,0.9983,0.0017,0.0,57036000.0,1.93
485,30000,0.33,0.1139,-0.0066,3.7734,769.58,1980.63,1.0329,4.7114,27.2783,0.1735,9.3144,-1.931,-0.0039,-0.3714,-0.1522,-0.6529,-0.1034,-0.4465,-0.0164,-0.0939,5.2893,0.2178,0.2421,0.9982,0.0018,0.0,57153600.0,1.96
486,30000,0.33,0.1139,-0.0074,3.776,775.39,2000.0,1.0193,4.712,27.101,0.1735,9.3024,-1.9352,-0.0038,-0.3643,-0.1528,-0.6464,-0.1064,-0.4484,-0.0164,-0.0947,5.2933,0.234,0.2417,0.9982,0.0018,0.0,57271200.0,1.91
487,30000,0.33,0.1122,-0.0047,3.7648,771.14,2000.0,1.0011,4.7132,27.2,0.1748,9.317,-1.9359,-0.0037,-0.3672,-0.1519,-0.6515,-0.1178,-0.4483,-0.0166,-0.0948,5.2925,0.2252,0.2405,0.9982,0.0018,0.0,57388800.0,1.92
488,30000,0.33,0.1112,-0.0067,3.7427,768.58,2000.0,0.9626,4.72,26.6572,0.1768,9.3419,-1.9498,-0.0033,-0.3623,-0.1458,-0.646,-0.1169,-0.4515,-0.0164,-0.0949,5.2918,0.2757,0.2346,0.9982,0.0018,0.0,57506400.0,1.92
489,30000,0.33,0.1115,-0.0058,3.7392,777.09,2000.0,1.0126,4.7132,27.4514,0.1744,9.3283,-1.9313,-0.0036,-0.3678,-0.1514,-0.6495,-0.1017,-0.448,-0.0163,-0.094,5.2889,0.2028,0.2405,0.9982,0.0018,0.0,57624000.0,1.91
490,30000,0.33,0.1113,-0.0073,3.7037,781.59,2000.0,0.9906,4.7153,27.5781,0.1752,9.3218,-1.9345,-0.0036,-0.3679,-0.1495,-0.6491,-0.1267,-0.4501,-0.0166,-0.0944,5.2921,0.1908,0.2387,0.9982,0.0018,0.0,57741600.0,1.96
491,30000,0.33,0.1133,-0.0049,3.7055,780.7,2000.0,1.0404,4.7061,27.3574,0.1742,9.2871,-1.9144,-0.0039,-0.3705,-0.1559,-0.646,-0.1186,-0.4524,-0.0167,-0.0944,5.2914,0.2101,0.2469,0.9982,0.0018,0.0,57859200.0,1.97
492,30000,0.33,0.1135,-0.0051,3.6845,773.89,2000.0,1.0021,4.7171,27.4039,0.1756,9.3384,-1.9288,-0.0036,-0.3721,-0.1536,-0.6512,-0.1065,-0.4485,-0.0164,-0.0933,5.2925,0.2069,0.2371,0.9982,0.0018,0.0,57976800.0,1.92
493,30000,0.33,0.1129,-0.0041,3.6733,771.02,2000.0,1.0431,4.7023,26.6323,0.1749,9.2745,-1.9164,-0.004,-0.3762,-0.1565,-0.6509,-0.1077,-0.4585,-0.0165,-0.0933,5.292,0.2759,0.2503,0.9982,0.0018,0.0,58094400.0,1.93
494,30000,0.33,0.1115,-0.0074,3.6482,777.5,2000.0,1.013,4.7199,27.0002,0.1743,9.3266,-1.9207,-0.0037,-0.3669,-0.1512,-0.6519,-0.1004,-0.45,-0.0164,-0.0941,5.295,0.2435,0.2347,0.9982,0.0018,0.0,58212000.0,1.95
495,30000,0.33,0.1111,-0.0066,3.6336,779.6,2000.0,1.0094,4.7225,27.7763,0.1754,9.3338,-1.9251,-0.0037,-0.3629,-0.151,-0.6408,-0.114,-0.4482,-0.0165,-0.0942,5.2974,0.1731,0.2325,0.9982,0.0018,0.0,58329600.0,1.93
496,30000,0.33,0.1128,-0.0068,3.6195,781.01,2000.0,0.9904,4.7246,27.3684,0.1772,9.3664,-1.9305,-0.0034,-0.3653,-0.1527,-0.6532,-0.1,-0.4519,-0.0164,-0.0929,5.2953,0.2109,0.2306,0.9982,0.0018,0.0,58447200.0,1.94
497,30000,0.33,0.1138,-0.005,3.6017,782.3,2000.0,1.0084,4.7159,27.2552,0.177,9.3355,-1.9189,-0.0037,-0.3633,-0.1522,-0.648,-0.1204,-0.4548,-0.0166,-0.094,5.2984,0.2201,0.2382,0.9982,0.0018,0.0,58564800.0,1.93
498,30000,0.33,0.1137,-0.0073,3.5785,787.35,2000.0,0.9949,4.7172,27.4483,0.1762,9.3622,-1.9254,-0.0035,-0.3632,-0.1507,-0.6487,-0.1231,-0.4484,-0.0165,-0.0946,5.3001,0.2033,0.2371,0.9982,0.0018,0.0,58682400.0,1.94
499,30000,0.33,0.115,-0.005,3.5596,780.19,2000.0,1.012,4.708,27.4343,0.1756,9.3247,-1.9256,-0.0037,-0.3636,-0.1521,-0.6487,-0.1186,-0.4521,-0.0164,-0.0936,5.2996,0.204,0.245,0.9982,0.0018,0.0,58800000.0,1.95
500,30000,0.32,0.1135,-0.005,3.5339,781.68,2000.0,1.0658,4.7072,27.9156,0.1757,9.3044,-1.8964,-0.0041,-0.372,-0.157,-0.6476,-0.107,-0.4541,-0.0165,-0.0937,5.2993,0.1599,0.2459,0.9982,0.0018,0.0,58917600.0,1.94
501,30000,0.32,0.1144,-0.0059,3.5093,792.61,2000.0,0.99,4.7254,28.2188,0.1774,9.3647,-1.9144,-0.0036,-0.3568,-0.1521,-0.6495,-0.131,-0.4517,-0.0167,-0.0941,5.303,0.1335,0.2299,0.9982,0.0018,0.0,59035200.0,1.96
502,30000,0.32,0.1141,-0.0073,3.4874,779.09,2000.0,1.0234,4.7106,27.6586,0.1764,9.3463,-1.9078,-0.0037,-0.3656,-0.1534,-0.6501,-0.1139,-0.4522,-0.0164,-0.0937,5.3053,0.1835,0.2428,0.9982,0.0018,0.0,59152800.0,1.92
503,30000,0.32,0.1149,-0.0064,3.4779,770.16,2000.0,1.0466,4.7093,27.389,0.1763,9.3175,-1.8976,-0.0039,-0.3718,-0.1572,-0.6482,-0.112,-0.4564,-0.0165,-0.0931,5.3086,0.2079,0.2439,0.9982,0.0018,0.0,59270400.0,1.97
